ZipCode,YoY_2025,Exposure_2025,YoY_2024,Exposure_2024,YoY_2023,Exposure_2023,YoY_2022,Exposure_2022,YoY_2021,Exposure_2021
94528,141%,321566534,336%,133313892,83%,30575169,43%,16676356,,11660000
94530,71%,573873576,442%,334730647,84%,61805037,27%,33620800,,26481499
94531,143%,168906997,568%,69619593,159%,10420265,-13%,4023721,,4644924
94547,102%,111736377,744%,55408024,202%,6564453,111%,2174690,,1032366
94548,0%,785000,1108%,785000,0%,65000,0%,-,,-
94549,104%,3812961258,322%,1871932446,93%,443907297,37%,230315946,,168359620
94553,92%,774201000,310%,402269248,150%,97996411,67%,39157894,,23403285
94556,114%,1116425749,515%,522671241,155%,84980822,24%,33311974,,26843796
94561,126%,68292783,88%,30229666,13%,16103977,-16%,14261202,,16887323
94563,142%,5658124370,335%,2336131573,54%,536647616,68%,347392013,,207185521
94564,118%,153554641,374%,70286069,360%,14833270,-18%,3227046,,3948224
94565,149%,250086671,195%,100425943,88%,34060463,-24%,18107253,,23847143
94569,34%,13682727,51%,10223518,86%,6750312,454%,3636007,,656794
94572,72%,22099168,101%,12821129,29%,6384374,-35%,4944167,,7617163
94582,241%,217589901,282%,63900614,0%,16723264,-100%,-,,1362812
94583,99%,605377217,188%,304400300,100%,105773816,51%,52801910,,34989462
94595,114%,239828022,156%,112071078,49%,43766149,35%,29294513,,21637739
94596,86%,137428519,327%,73925284,47%,17304691,-5%,11784865,,12444263
94597,75%,145483710,264%,83187995,59%,22884301,14%,14380805,,12668717
94598,113%,169115496,137%,79569783,180%,33625748,-14%,12026875,,13907671
94801,86%,157684043,108%,84755792,12%,40737229,4%,36331193,,34964569
94803,106%,588605532,280%,285337478,76%,75137158,94%,42687320,,22052261
94804,103%,167323595,140%,82262026,43%,34247149,-16%,23958207,,28445368
94805,78%,157226159,174%,88206139,126%,32135907,-4%,14241977,,14862369
94806,79%,146701155,162%,81963492,12%,31245076,19%,27878680,,23515602
95531,92%,246447235,146%,128644421,58%,52299310,134%,33158787,,14187874
95543,36%,65138319,4%,48071765,25%,46023405,16%,36884285,,31773589
95548,30%,11486468,67%,8860223,44%,5316033,74%,3687692,,2118051
95567,188%,26222808,154%,9114983,133%,3595076,-14%,1541226,,1790191
95614,28%,772688167,41%,603501785,14%,429068407,19%,375196274,,316433030
95619,33%,439886131,66%,331198806,103%,199949847,29%,98485664,,76351753
95623,29%,727357142,47%,564043452,67%,382407294,21%,228719353,,188721634
95633,24%,716416072,32%,579960648,12%,439281939,15%,391678843,,340575083
